label,text,Key
engagement,"The following data were obtained from one Male student 1 of Language class 147 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:80.09341765417585, sd:7.165639736308028, max:91.14247332595274, min:68.86719755342202
ACC: mean:42.48061111698756, sd:6.85905930294495, max:53.79212815507391, min:33.30525614065048
EDA: mean:0.4278156435330545, sd:0.0772131251784213, max:0.5965648768921554, min:0.3075251813786543
TEMP: mean:30.22247333347034, sd:0.2716162427618175, max:30.763069546127237, min:29.810082469030057",147_1
disengagement,"The following data were obtained from one Male student 1 of Health class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:74.39329713429314, sd:8.031475484133095, max:84.37199426995141, min:61.929389721328334
ACC: mean:13.449200893039029, sd:15.379027652660197, max:37.02820007194048, min:-13.734722796529212
EDA: mean:0.7477414512768512, sd:0.1252792466968914, max:0.9534360042856236, min:0.5705690063878994
TEMP: mean:30.124548347557653, sd:0.3762270512183221, max:30.647625279534903, min:29.5",114_1
disengagement,"The following data were obtained from one Male student 1 of Science class 106 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:70.76592122254252, sd:6.357532614263286, max:83.62373988639467, min:60.0
ACC: mean:19.826053776670417, sd:12.62721981656542, max:44.60209280534729, min:3.447115147922624
EDA: mean:0.74258438225375, sd:0.1233853491628129, max:1.0329278851815795, min:0.5376943886924379
TEMP: mean:30.155412880254232, sd:0.3854197992098598, max:30.96213473936985, min:29.5",106_1
engagement,"The following data were obtained from one Male student 1 of Politics class 157 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.03703652382652, sd:9.500424108088286, max:103.4993440501754, min:72.49336568933867
ACC: mean:38.69924211624036, sd:10.97479474409858, max:59.90455625809979, min:23.981489372077192
EDA: mean:0.4441497789377109, sd:0.0930445528678159, max:0.5807142754282428, min:0.2892516765438772
TEMP: mean:30.33831871585464, sd:0.2033516788112636, max:30.766443627786188, min:30.002174125699337",157_1
engagement,"The following data were obtained from one Male student 1 of Maths class 137 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:91.58464790156452, sd:10.313692573505506, max:115.2016916658962, min:79.10485570374476
ACC: mean:41.24620211263972, sd:9.236887256071196, max:56.96792982653948, min:28.253183297726785
EDA: mean:0.4270939518645944, sd:0.07603876627216, max:0.5214000494092093, min:0.2985152775314135
TEMP: mean:30.25304608009036, sd:0.1671603699814124, max:30.514099698580868, min:29.988565305322005",137_1
engagement,"The following data were obtained from one Male student 1 of English class 101 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.34241591180532, sd:6.302551850047213, max:99.355656401806, min:80.27174785462428
ACC: mean:44.13653116913612, sd:13.181740568852025, max:76.52731490654722, min:24.22330632042909
EDA: mean:0.4408878570528542, sd:0.1240193907151636, max:0.6814658566673508, min:0.2632734807408252
TEMP: mean:30.30024712899864, sd:0.2658225557080519, max:30.835986022331333, min:29.7937143533356",101_1
disengagement,"The following data were obtained from one Male student 1 of Politics class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:76.03913339627486, sd:12.2473036611466, max:97.4658743641516, min:60.0
ACC: mean:17.94752830415095, sd:15.200748316893602, max:49.77817632505975, min:-3.6053353270039703
EDA: mean:0.6471075581123827, sd:0.1790865289023085, max:0.9948616955897452, min:0.2638098989896391
TEMP: mean:30.09799569282868, sd:0.2974344875343487, max:30.60444565117314, min:29.5974482470872",114_1
engagement,"The following data were obtained from one Male student 1 of Politics class 101 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.87261040283754, sd:5.9777473677266135, max:96.9959987543325, min:81.07090404739346
ACC: mean:39.399619371588, sd:11.618688160112937, max:59.330333746562665, min:18.479122004774982
EDA: mean:0.4609591184447105, sd:0.0644105359450842, max:0.5777664895788425, min:0.3671004989077928
TEMP: mean:30.410305344883955, sd:0.137820198252843, max:30.626369701788583, min:30.22243331085164",101_1
disengagement,"The following data were obtained from one Male student 1 of Science class 145 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:69.62343350074875, sd:6.705841525267995, max:83.70143680101302, min:61.23294754217002
ACC: mean:23.307034468272523, sd:17.801381787297224, max:55.662970962338285, min:-3.855395030179178
EDA: mean:0.6769959353184634, sd:0.0899883769516543, max:0.7867449856663085, min:0.5327873487754013
TEMP: mean:30.12277643007916, sd:0.2442414058387889, max:30.616374675932345, min:29.749114722376767",145_1
engagement,"The following data were obtained from one Male student 1 of Maths class 134 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:94.7559250843297, sd:10.088868383917063, max:109.89802933217672, min:79.91701714644849
ACC: mean:40.19531171799669, sd:6.00417225969918, max:53.32738913002578, min:30.269902161445337
EDA: mean:0.4289394288882383, sd:0.1043074599658095, max:0.6376170839215887, min:0.2376104275690193
TEMP: mean:30.339475220985094, sd:0.2939108829961001, max:30.75786469146359, min:29.87171636772728",134_1
